,,,,,,,,,,,,,,,downloaded_filename,drive_file_id
601,Sheet,The Everlasting Hills,Front Cover,Back Cover,9,1,,H. Clarence Sage,H. Clarence Sage,"33 Union Square, New York, New York",R.A. Saalfield,,1877,The picture of a church on the front cover on this piece.,NOT DOWNLOADED: 1dXzGzd1m5nTi0uPampt,1dXzGzd1m5nTi0uPamptSaKDddL8RsV4l
602,Sheet,The Mountain Daisy Waltzes,Front Cover,Back Cover,9,1,Waltz,None,William Clifton Daland,"13 East 14th Street., New York, New York",S.T. Gordon & Son,,1879,There is a list of songs that are also published by this publisher.,NOT DOWNLOADED: 1oQomCko0WFoeI-oRAy8,1oQomCko0WFoeI-oRAy8W_ILYLILyxdPq
603,Sheet,General Hancock's Grand March,Front Cover,Back Cover,9,1,March,None,Sep. Winner,"922 Chestnut St., Philadelphia, Pennsylvania",Lee & Walker,,1864,There is a picture of General Hancock on the front cover of this sheet. May have belonged to Lura Smith.,NOT DOWNLOADED: 1FyCItU2uaDhzPafu55n,1FyCItU2uaDhzPafu55nr4C6QEJmr9iyM
604,Sheet,A Bunch Of Rags,Front Cover,Back Cover,9,1,Piano & Banjo,None,W.J. Kitchener,,"Howley, Haviland & Co.",,1899,This song has both the banjo and piano versions of it. No front or back covers.,NOT DOWNLOADED: 10FEIrU0KTfxhSLlblRr,10FEIrU0KTfxhSLlblRru4dFRBdD1TafX
605,Sheet,The Preacher and the Bear,Front Cover,Back Cover,9,1,,Joe Arzonia,Joe Arzonia,"153 N. Eighth St., Philadelphia, Pennsylvania",Jos. Morris Co.,,1904,The cover of this sheet has a man sitting on a branch of a tree.,NOT DOWNLOADED: 1gzDaCGXhg_RHjPgekPV,1gzDaCGXhg_RHjPgekPVquXljUnrjkTQx
606,Sheet,The Vivandiere,Front Cover,Back Cover,9,1,,Joseph Hart,Joseph Hart,"25 Union Square, New York, New York",WM. A. Pond & Co.,,1894,There is a photo of a woman on the front cover of this sheet.,NOT DOWNLOADED: 1wrIEOIlR0hj_g1FbhZt,1wrIEOIlR0hj_g1FbhZtt7CQEEfzykyQ6
607,Sheet,Broken Down,Front Cover,Back Cover,9,1,Comic,Harry Clifton,Harry Clifton,"Red Bank, New Jersey",H.K. Allstrom,,,On the front cover of this sheet there is a list of other comic songs.,NOT DOWNLOADED: 1R5LtLc824cYOx-hPNba,1R5LtLc824cYOx-hPNbaaSuufSHTKdpXb
608,Sheet,Serenade,Front Cover,Back Cover,9,1,,Jerry Castillo,Franz Schubert,"Chicago, Illinois",Calumet Music Co.,,1935,This sheet is in very good condition.,NOT DOWNLOADED: 1NkCJ5NId-icjtG1aNtF,1NkCJ5NId-icjtG1aNtFG_MMslAYWFGgx
609,Sheet,The Lost Chord,Front Cover,Back Cover,9,1,,Adelaide A. Proctor,Arthur Sullivan,"145 W. 45th St., New York, New York",Joe Morris Music Co.,,,,NOT DOWNLOADED: 1KrD5ySQF0y8N8l7vl2f,1KrD5ySQF0y8N8l7vl2f8c6ojNJgYmhWf
610,Sheet,Sing me to Sleep,Front Cover,Back Cover,9,1,Violin,None,Edwin Greene,"26 & 28 West St., Boston, Massachusetts",The Boston Music Company,,1911,Four other songs are published by the Boston Music Company on the back of this sheet.,NOT DOWNLOADED: 1PebLp0IbQScItBdGKoe,1PebLp0IbQScItBdGKoemAQc88mAMngMx
611,Sheet,Out Where the West Begins,Front Cover,Back Cover,9,1,,Arthur Chapman,Estelle Philleo,"235 South Wabash Ave., Chicago, Illinois",Forster Music Publisher Inc.,,1917,There is a mountain range on the front cover of this sheet. Julia Parker's initials are written on the front.,NOT DOWNLOADED: 1ZqDrQe245iqFXmVXEM1,1ZqDrQe245iqFXmVXEM1HW8VP0Kje1fbn
612,Sheet,Sylvia,Front Cover,Back Cover,9,1,,Clinton Scollard,Oley Speaks,"New York, New York",G. Schirmer Inc.,,1914,"The title on the front cover of this sheet is in a sky-blue color. Julia Parker's initials ""J.G.P."" are written on the front cover.",NOT DOWNLOADED: 1Jdiaj_DFCAwbipfDNIR,1Jdiaj_DFCAwbipfDNIRnzbOyst1HUQnp
613,Sheet,Carry Me Back to Old Virginny,Front Cover,Back Cover,9,1,,James A. Bland,James A. Bland,"201 East 26th Street, Chicago, Illinois",Calumet Music Co.,,1935,The front cover of this sheet is a bright yellow.,NOT DOWNLOADED: 1q4dY6QD1sbXLPG8hN7V,1q4dY6QD1sbXLPG8hN7VHICBHm4y-MCPz
614,Sheet,The Lost Chord,Front Cover,Back Cover,9,1,,Arthur Sullivan,Arthur Sullivan,"201 East 26th Street, Chicago, Illinois",Calumet Music Co.,,1935,The front cover of this sheet is bright red with music notes on it.,NOT DOWNLOADED: 1UsmEqQa3rtoH4xOz_wC,1UsmEqQa3rtoH4xOz_wCmhGXtgAj-Q4qO
615,Sheet,The Palms (Les Rameaux),Front Cover,Back Cover,9,1,,Bernice Manoloff,J. Faure,"201 East 26th Street, Chicago, Illinois",Calumet Music Co.,,1935,The front cover of this sheet is 2 shades of green with a palm leaf on it.,NOT DOWNLOADED: 1IKujf5zqmvoOhai7fmT,1IKujf5zqmvoOhai7fmTpbhTjrOs5fOK1
616,Sheet,In a Monastery Garden,Front Cover,Back Cover,9,1,Violin & Vocal,Albert W. Ketelbey,Albert W. Ketelbey,"62-64 West 45th Street, New York, New York","T.B. Harms & Francis, Day & Hunter, Inc.",J.H. Larway,1921,The title of this piece has a red square around it.,NOT DOWNLOADED: 1tkvKVz3SlVEU5naLhnj,1tkvKVz3SlVEU5naLhnjybuQ35ND0pBuA
617,Book,Jingle Bells and Silent Night,Front Cover,Back Cover,9,2,Christmas,J. Pierpont & Joseph Mohr,J. Pierpont & Franz Gruber,,,,,The two songs are in what looks to be a Christmas magazine.,,
618,Sheet,I'll Forget You,Front Cover,Back Cover,9,1,,Annelu Burns,Ernest R. Ball,"No. 7 Whitmark Building, New York, New York",M. Witmark & Sons,,1921,There is an advertisement for another song on the back of this sheet. Julia Parker's initials are written on the front.,NOT DOWNLOADED: 1Qsebvd-9PGr5nSlVa0t,1Qsebvd-9PGr5nSlVa0tcZAj7xOQEvzH-
619,Sheet,Faust Waltz,Front Cover,Back Cover,9,1,Waltz,None,Charles Gound,"2611 Indiana Avenue, Chicago, Illinois",Moderne Edition,,1936,"The front cover of this sheet is purple, with a man posing on it.",NOT DOWNLOADED: 1OLRTDrC9mAHWG7hXL4P,1OLRTDrC9mAHWG7hXL4PA7IJfEfpmsB1M
620,Sheet,Turkey In The Straw,Front Cover,Back Cover,9,1,Rag-Time,Leo Wood,Otto Bonnell,"235 W. 40th St., New York, New York","Leo. Feist, Inc.",,1920,The front cover of this sheet has a man playing the banjo.,NOT DOWNLOADED: 1BZztWPuFJeZKoPG8N1y,1BZztWPuFJeZKoPG8N1yNyOQ86AtN69RC
621,Book,The Etude (March 1909),Front Cover,Back Cover,9,,,,"R.S. Morrison, Carl Koelling, Eugene Jambor, etc.","Philadelphia, Pennsylvania",Theodore Presser,,1909,"This a music magazine. Green cover, March issue.",NOT DOWNLOADED: 13jm1bUwZWTxjo5CVQSQ,13jm1bUwZWTxjo5CVQSQ6OBGgEnZVogIN
622,Sheet,Who Knows?,Front Cover,Back Cover,9,1,,Paul Laurence Dunbar,Ernest R. Ball,"No. 7 Whitmark Building, New York, New York",M. Witmark & Sons,,1908,There is an advertisement for another song on the back of this sheet.,NOT DOWNLOADED: 1GW85PPZa7ZepyXJza8x,1GW85PPZa7ZepyXJza8xX0nZYFu5EmUyW
623,Sheet,Pagan Love Song,Front Cover,Back Cover,9,1,,Arthur Freed,Nacio Herb Brown,"799 Seventh Avenue, New York, New York",Robbins Music Corporation,,1929,The cover of this sheet is in bright blue and white.,NOT DOWNLOADED: 1_cw6Tgasu0IpgT_DNoA,1_cw6Tgasu0IpgT_DNoAuaFunYmAFVuSj
624,Sheet,Would You,Front Cover,Back Cover,9,1,,Arthur Freed,Nacio Herb Brown,"799 Seventh Avenue, New York, New York",Robbins Music Corporation,,1936,The front cover of this sheet has a man and a woman dressed nicely on it. Light blue background.,NOT DOWNLOADED: 1KHFA_YLcvv-lQUN10nz,1KHFA_YLcvv-lQUN10nzC8GVtPoQ4oJA6
625,Sheet,The Lamplit Hour,Front Cover,Back Cover,9,1,,Thomas Burke,Arthur A. Penn,"10 Witmark Building, New York, New York",M. Witmark & Sons,,1919,,NOT DOWNLOADED: 1PX8E9ZH9wok0QWmbUVV,1PX8E9ZH9wok0QWmbUVVeqyqcdxvETglV
626,Sheet,Just A Word For Father,Front Cover,Back Cover,9,1,,Walter H. Ford,John W. Bratton,"8 West 29th Street, New York, New York",M. Witmark & Sons,,1894,The border of this sheet is orange-red color with some type of plant on it.,NOT DOWNLOADED: 1mDXZCxoT4y70i9DgArO,1mDXZCxoT4y70i9DgArOi7Gjyg7u2Yj5c
627,Sheet,Blue Danube Waltz,Front Cover,Back Cover,9,1,Waltz,Jerry Castillo,John Strauss,"201 East 26th Street, Chicago, Illinois",Calumet Music Co.,,1935,The cover of this sheet is royal blue with a streak of yellow on it.,NOT DOWNLOADED: 1TTccP0odyFn0mvTmUMJ,1TTccP0odyFn0mvTmUMJnfkc65SSDmspJ
628,Sheet,Liebestraum (Dream Of Love),Front Cover,Back Cover,9,1,,Jerry Castillo,Franz Liszt,"201 East 26th Street, Chicago, Illinois",Calumet Music Co.,,1935,The front cover of this sheet has a man leaning on a tree.,NOT DOWNLOADED: 1rfeV9x8Pq3nr_ZgMrQf,1rfeV9x8Pq3nr_ZgMrQf_eParp8pLSlQY
629,Sheet,Absent,Front Cover,Back Cover,9,1,,Catherine Young Glen,John W. Metcalf,"120 Boylston St., Boston, Massachusetts or 8 West 40th St., New York, New York",The Arthur P. Schmidt Co.,,1899,There are advertisements on the back of this sheet.,NOT DOWNLOADED: 1zTCsAuz7h33m3I-rGOC,1zTCsAuz7h33m3I-rGOCa9VZgHLpkXNOX
630,Sheet,La Paloma (The Dove),Front Cover,Back Cover,9,1,,Jerry Castillo,Sebastian Yradier,"201 East 26th Street, Chicago, Illinois",Calumet Music Co.,,1935,"The front cover of this sheet has red, black, and white on it.",NOT DOWNLOADED: 1CkECxApJ10_s7GSH0Bb,1CkECxApJ10_s7GSH0BbPC8aOHqwQvCau
631,Sheet,Songs My Mother Taught Me,Front Cover,Back Cover,9,1,,Anton Dvorak,Anton Dvorak,"201 East 26th Street, Chicago, Illinois",Calumet Music Co.,,1935,The front cover of this sheet is a vibrant and bright green.,NOT DOWNLOADED: 1yxs5hkCmPNXOGo6wRI9,1yxs5hkCmPNXOGo6wRI9Q9stmpOlpeYbS
632,Sheet,Among My Souvenirs,Front Cover,Back Cover,9,1,,Edgar Leslie,Horatio Nicholls,"745 Seventh Ave, New York, New York","De Sylva, Brown, and Henderson. Inc.",,1927,The front cover has a small image with a jewelry box with a rose and letters in it.,NOT DOWNLOADED: 19cji9Yyt5LvLzcIn2KM,19cji9Yyt5LvLzcIn2KMym03XUbFLFqQ0
633,Sheet,Just Been Wond'ring All Day Long,Front Cover,Back Cover,9,1,Violin & Vocal,Irene Akerley Canning,Irene Akerley Canning,"No. 7 Whitmark Building, New York, New York",M. Witmark & Sons,,1921,There is an advertisement for another song on the back of this sheet.,NOT DOWNLOADED: 13ukhgKcJWRyc6C8CChp,13ukhgKcJWRyc6C8CChp7UZ-wk4Va8CaB
634,Sheet,She'll Be Comin' Round The Mountain,Front Cover,Back Cover,9,1,Guitar & Vocal,Frank & Manoloff,Frank & Manoloff,"201 East 26th Street, Chicago, Illinois",Calumet Music Co.,,1935,There are orange mountains with a train going up them on the front cover.,NOT DOWNLOADED: 1SISPB_uO5I6Co-vriPn,1SISPB_uO5I6Co-vriPnZOH_T3FdPAz3p
635,Sheet,Hawaiian Lullaby,Front Cover,Back Cover,9,1,,Dorothy Terriss,Ethel Bridges,"Feist Building 231-5 West 40th Street, New York, New York","Leo. Feist, Inc.",,1919,The front cover of this sheet is decorated with dark blue flowers.,NOT DOWNLOADED: 1C8phT-fjB14C6lps2xG,1C8phT-fjB14C6lps2xGO74pqyWXXOZJE
636,Sheet,When The Moon Comes Over The Mountain,Front Cover,Back Cover,9,1,,"Kate Smith, Harry Woods, & Howard Johnson","Kate Smith, Harry Woods, & Howard Johnson","799 Seventh Avenue, New York, New York",Robbins Music Corporation,,1931,The cover of this sheet has a woman on it with mountains in the background.,NOT DOWNLOADED: 19LKgYgo5hU7OuHIc1mL,19LKgYgo5hU7OuHIc1mL1VvCdjQo2MG7S
637,Sheet,Memories,Front Cover,Back Cover,9,1,Piano & Vocal,Gustave Kahn,Egbert Van Alstyne,"Detroit, Michigan & New York, New York",Jerome H. Remick & Co.,,1915,The front cover of this sheet is royal blue with a red lamp on it.,NOT DOWNLOADED: 1S1jsW5PEwoyoDOgc9Y5,1S1jsW5PEwoyoDOgc9Y5T3DaeAYdd5QHg
638,Sheet,None But The Lonely Heart,Front Cover,Back Cover,9,1,,Jerry Castillo,P. Tchaikovsky,"201 East 26th Street, Chicago, Illinois",Calumet Music Co.,,1935,The front cover of this sheet is in black and white with a red heart in the middle.,NOT DOWNLOADED: 1ropjmx8pU0-RffHv7xo,1ropjmx8pU0-RffHv7xoqhJtEd3gtfSlP
639,Sheet,"There's A Long, Long Trail",Front Cover,Back Cover,9,1,,Stoddard King,Zo Elliott,"New York, New York",M. Witmark & Sons,,1914,The front cover indicates that the solo is 60 cents and the duet is 75 cents.,NOT DOWNLOADED: 1wX5snvGK3xEVzxWALPO,1wX5snvGK3xEVzxWALPOmI6QhQlvbAQ8N
640,Sheet,In A Little Town Near By,Front Cover,Back Cover,9,1,,Amy Ashmore Clark,Florence Turner-Maley,"Dep't W. 1650 Broadway, New York, New York",M. Witmark & Sons,,1921,There is an advertisement for another song on the back of this sheet.,NOT DOWNLOADED: 12BBnjl5uqYQgR2bqU2_,12BBnjl5uqYQgR2bqU2_h6hBbH9s1x52V
641,Sheet,The Americans Come!,Front Cover,Back Cover,9,1,Piano & Vocal,Elizabeth A. Wilbur,Fay Foster,"Fourth Avenue and Eighth Street, New York, New York",J. Fischer & Bro,,1918,There is a small image of soldiers on the front cover of this sheet.,NOT DOWNLOADED: 1bKfeYh5yGc6wHBWOYuw,1bKfeYh5yGc6wHBWOYuwq4nCEXgNwBswD
642,Sheet,When My Dream Boat Comes Home,Front Cover,Back Cover,9,1,Piano & Vocal,Cliff Friend & Dave Franklin,Cliff Friend & Dave Franklin,"New York, New York",M. Witmark & Sons,,1936,The cover of this sheet is a rusted color wth a boat on it with a heart.,NOT DOWNLOADED: 1Nsuh7PB0ySuvVtinkXz,1Nsuh7PB0ySuvVtinkXzjVycLuOoLE2Cd
643,Sheet,West Of The Great Divide (2 copies),Front Cover,Back Cover,9,1,,George Whiting,Ernest R. Ball,"Dep't W. 1650 Broadway, New York, New York",M. Witmark & Sons,,1924,The title of this sheet is in red lettering.,NOT DOWNLOADED: 1U50HsW0dryiiGRBQeqO,1U50HsW0dryiiGRBQeqOD90clVN0K11J1
644,Sheet,Did I Remember,Front Cover,Back Cover,9,1,,Harold Adamson,Walter Donaldson,"1629 Broadway, New York City, New York","Leo. Feist, Inc.",,1936,There are advertisements for two other songs on the back cover.,NOT DOWNLOADED: 1DJlDrzPBAVEpg3oPHUx,1DJlDrzPBAVEpg3oPHUxdebKYrvVMWk1x
645,Sheet,Auf Wiedersehn (2 copies),Front Cover,Back Cover,9,1,,Herbert Reynolds,Sigmund Romberg,"3 East 43rd Street, New York, New York",G. Schirmer,,1915,The title of this song is in orange lettering.,NOT DOWNLOADED: 18NfqZ23RS-8F0Z58_Ag,18NfqZ23RS-8F0Z58_AgoLmbTLXonBuSj
646,Sheet,Dark Eyes,Front Cover,Back Cover,9,1,Russian Ballas,Bernice Manoloff,Nick Manoloff,"201 East 26th Street, Chicago, Illinois",Calumet Music Co.,,1935,Provies English and Russian lyrics.,NOT DOWNLOADED: 1MvDaca13_NmmGaMImWT,1MvDaca13_NmmGaMImWTNTpi1dNIjROei
647,Sheet,Love Songs Of The Nile,Front Cover,Back Cover,9,1,,Arthur Freed,Nacio Herb Brown,"799 Seventh Avenue, New York, New York",Robbins Music Corporation,,1933,There are advertisements for other songs on the back cover of this sheet.,NOT DOWNLOADED: 123kXtA26Cw-PsuIyncF,123kXtA26Cw-PsuIyncFC32vlWSv-vXsK
648,Sheet,Old MacDonald Had A Farm,Front Cover,Back Cover,9,1,,Mort. H. Glickman,Mort. H. Glickman,"62 West 45th Street, New York, New York",Calumet Music Co.,,1935,The front cover of this sheet has a farmer on it.,NOT DOWNLOADED: 1Lzu7h-jGflEyv8jApLZ,1Lzu7h-jGflEyv8jApLZ0CvBtGTfLpqGQ
649,Sheet,Little Old Lady,Front Cover,Back Cover,9,1,Piano & Vocal,Hoagy Carmichael & Stanley Adams,Hoagy Carmichael & Stanley Adams,"Rockefeller Center, New York City, New York","Chappell & Co., Inc.",,1936,There are advertisements for other songs on the back cover of this sheet.,NOT DOWNLOADED: 1vwn3RJJV3O5Wc0_1Egy,1vwn3RJJV3O5Wc0_1EgynIoHgw90Lp46P
650,Sheet,Gingham Gown,Front Cover,Back Cover,9,1,,Arthur A. Penn,Arthur A. Penn,"Dep't W. 1650 Broadway, New York, New York",M. Witmark & Sons,,1921,There are advertisements on the back of this sheet.,NOT DOWNLOADED: 1rohNCSN2FNOB1m6IFMQ,1rohNCSN2FNOB1m6IFMQxkvboHUKKLaM8
651,Sheet,The Garden Of Dreams,Front Cover,Back Cover,9,1,,Clare Kummer,Clare Kummer,"Detroit, Michigan & New York, New York",Jerome H. Remick & Co.,,1908,The cover of this sheet has green designs all over it. Pages in poor condition.,NOT DOWNLOADED: 1MtmtdLJNZEcmq9IilkX,1MtmtdLJNZEcmq9IilkXNb17fD0QqAQD6
652,Sheet,Gen. Boulanger's March,Front Cover,Back Cover,9,1,,None,Julian Cramer,,The W.F. Shaw Co.,,1887,The font of this piece of sheet music is large and an interesting style.,NOT DOWNLOADED: 1iA2IDGy59A1QIJAAIfK,1iA2IDGy59A1QIJAAIfKDqz0zdGmPOiSI
653,Sheet,Tell Me The Old Old Story,Front Cover,Back Cover,9,1,,Richard L. Weaver,Richard L. Weaver,"136 N. 9th St., Philadelphia, Pennsylvania",Joesph Morris,,1908,There is only the cover page and what is on the back of the cover page.,,
654,Sheet,Queen Mary's Prayer,Front Cover,Back Cover,9,1,Sacred,Justice Bliss,M. Lindsay,"277 Washington St., Boston, Massachusetts",Oliver Ditson & Co.,,,This piece of sheet music is not in very good condition.,NOT DOWNLOADED: 1pXgZ5tR7Mb5PnKaZ0VJ,1pXgZ5tR7Mb5PnKaZ0VJCakUGDKSOAnQt
655,Sheet,Because,Front Cover,Back Cover,9,1,Piano & Vocal,Edward Teschemacher,Guy D'Hardelot,"Rockefeller Center, New York City, New York","Chappell & Co., Inc.",,1902,There are advertisements for four other songs on the back of this sheet.,NOT DOWNLOADED: 19jDGkzKJQ8Hqm9rJd1G,19jDGkzKJQ8Hqm9rJd1GI2nr3fiMYsmm5
656,Sheet,"Old Time Songs, All Through The Night",Front Cover,Back Cover,9,1,Piano & Vocal,Harold Boulton,J.B.W.,"Boston, Massachusetts",Oliver Ditson Company,,1897,There is an advertisement for another song on the back cover of this sheet.,NOT DOWNLOADED: 1JSbqTxSkBJs2HWXZGgB,1JSbqTxSkBJs2HWXZGgBc0pBQ2d1Bx0IX
657,Sheet,Gypsy Love Song,Front Cover,Back Cover,9,1,,Harry B. Smith,Victor Herbert,"New York, New York",M. Witmark & Sons,,1898,The front cover indicates that the solo is 60 cents and the duet is 75 cents.,,
658,Sheet,Sunrise And You,Front Cover,Back Cover,9,1,,Arthur A. Penn,Arthur A. Penn,"No. 7 Whitmark Building, New York, New York",M. Witmark & Sons,,1918,There are advertisements on the back cover.,NOT DOWNLOADED: 1L6EY-UEzWzFHyuj3T5h,1L6EY-UEzWzFHyuj3T5hlLKiQQzu-0Dyh
659,Sheet,Somewhere A Voice Is Calling,Front Cover,Back Cover,9,1,Piano & Vocal,Eileen Newton,Arthur F. Tate,"62-64, West 45th Street, New York, New York","T.B. Harms & Francis, Day & Hunter, Inc.",J.H. Larway,1911,The title of the song is underlined in orange-red coloring,NOT DOWNLOADED: 16r3f9dMNgsoUbB9gJvD,16r3f9dMNgsoUbB9gJvDjFlNzG5jNi_Ca
660,Sheet,Serenade,Front Cover,Back Cover,9,1,,Jerry Castillo,Franz Schubert,"62 West 45th Street, New York, New York",Calumet Music Co.,,1935,The cover of this sheet is yellow with an image of a balcony.,NOT DOWNLOADED: 1M6JI580GJb9svAp5Ogd,1M6JI580GJb9svAp5OgdGOFPCcWwEz4sV
661,Sheet,Liebestraum (Dream Of Love),Front Cover,Back Cover,9,1,,None,Franz Liszt,"2611 Indiana Avenue, Chicago, Illinois",Moderne Edition,,1936,The cover of this sheet is a powder blue color.,NOT DOWNLOADED: 19jph0djLRNPW3-Kmbum,19jph0djLRNPW3-Kmbumxx6kYk4nXhieK
662,Sheet,The Last Rose Of Summer,Front Cover,Back Cover,9,1,,Jerry Castillo,Fredrick Von Flotow,"201 East 26th Street, Chicago, Illinois",Calumet Music Co.,,1935,The cover page of this sheet is a light pink with orange designs.,NOT DOWNLOADED: 1DZG-2B_MVnDswxKZmxj,1DZG-2B_MVnDswxKZmxjhfMAeTP81VPfA
663,Sheet,Kashmiri Song (Pale Hands I Loved) (2 copies),Front Cover,Back Cover,9,1,Piano & Vocal,Laurence Hope,Amy Woodforde-Finden,"Steinway Hall, 113 West 57th St., New York,New York","Boosey & Company, Inc.",,1903,There is an advertisement for another song on the back cover of this sheet.,NOT DOWNLOADED: 1zGV8dxPB_yRhMosEOc1,1zGV8dxPB_yRhMosEOc1Yt1sin9DrDivf
664,Sheet,Just A-Wearyin' For You,Front Cover,Back Cover,9,1,,Frank Stanton,Carrie Jacobs-Bond,"Hollywood, California",Carrie Jacobs-Bond & Son,,1901,There is a flower wreath on the front cover of this sheet.,NOT DOWNLOADED: 1IPUWNs5WdNmD3GBF3bw,1IPUWNs5WdNmD3GBF3bwEFtqm60cqVFXd
665,Sheet,I'll Take You Home Again Kathleen,Front Cover,Back Cover,9,1,,Thomas P. Westendorf,Thomas P. Westendorf,"201 East 26th Street, Chicago, Illinois",Calumet Music Co.,,1935,"The front cover of this piece has orange, black, and white on it.",NOT DOWNLOADED: 1p6T-lkiRvpYE2ke24Kk,1p6T-lkiRvpYE2ke24KkqNiROOIvbloFa
666,Sheet,"If You're In Love, You'll Waltz",Front Cover,Back Cover,9,1,,Joseph McCarthy,Harry Tierney,"231 W. 40th St., New York, New York","Leo. Feist, Inc.",,1926,The front cover of this sheet has a woman dressed in elegant clothing.,NOT DOWNLOADED: 1ikFJW4iSyxylMN0rxf3,1ikFJW4iSyxylMN0rxf3CXDC9fOZH7Fol
667,Sheet,Here's Hoping,Front Cover,Back Cover,9,1,Piano & Vocal,Harold Adamson,J. Fred Coots,"755-7th Avenue, New York City, New York","Santly Bros., Inc.- Music Publishers",,1932,The front cover of this piece has pink and purple designs on it.,NOT DOWNLOADED: 1mqKHc1b5TMe8JheroWv,1mqKHc1b5TMe8JheroWvzlPHQD2fRB7Xe
668,Sheet,Till the Sands of the Desert Grow Cold,Front Cover,Back Cover,9,1,Piano/Vocal,Geo. Graff Jr.,Ernest R. Ball,New York,M. Witmark & Sons,,1911,,,
669,Sheet,Sweet Little Buttercup,Front Cover,Back Cover,10,2,Piano & Vocal,Alfred Bryan,Herman Paley,Detroit & New York,Jerome H. Remick & Co.,,1918,A girl in a white dress sorounded by orange flowers,NOT DOWNLOADED: 1rD5JWA5vTKuPHOSJ_0Q,1rD5JWA5vTKuPHOSJ_0QggtnDVQwlrgFv
670,Sheet,Homeland,Front Cover,Back Cover,10,1,Piano & Vocal,Sidney Homer,Sidney Homer,"New York, New York",New York Times,,1918,A song published onto The New York Times magazine,NOT DOWNLOADED: 1whQIemKZlI66lX_SHta,1whQIemKZlI66lX_SHtap0PCj3fz2qCMf
671,Sheet,Huckleberry Finn,Front Cover,Back Cover,10,2,Piano & Vocal,"Sam M. Lewis, Joe Young, Cliff Hess","Sam M. Lewis, Joe Young, Cliff Hess","New York, New York","Waterson, Berlin & Snyder Co.",,1917,The cover is a drawing of fictional character Huckleberry Finn holding a fishing rod with a fish,NOT DOWNLOADED: 1SnjEY4Nthz4f6-klnIo,1SnjEY4Nthz4f6-klnIoAf854zLBGtbY-
672,Sheet,Mozart Sonatas 6 and 14 (incomplete),Front Cover,Back Cover,10,2,Piano,,Mozart,"New York, New York",U.S. School of Music New York City,,Unknown,Mozart piano music,NOT DOWNLOADED: 14EaOD6emXF9xFDJf_FW,14EaOD6emXF9xFDJf_FWinbqBUhW8ReJd
673,Sheet,Baby Pulled The Pussy's Tail,Front Cover,Back Cover,10,1,Piano & Vocal,L. Frank Baum,Alberta N. Hall,Chicago and New York,The Geo. M Hill,,1900,A depiction of a boy pulling a cat's tail (Verse by the same person who wrote the Wizard of Oz),NOT DOWNLOADED: 1Zf_vJs0yfXfysayGTsA,1Zf_vJs0yfXfysayGTsAfp4QCLBX1InNi
674,Sheet,Little Sweet Mazurka,Front Cover,Back Cover,10,1,Piano,,C. W. Wilcox,"New York, New York",U.S. School of Music New York City,,1909,One song from a list of songs belonging to the U.S. School of Music,NOT DOWNLOADED: 1W2fv91nnchXWGFhrFdZ,1W2fv91nnchXWGFhrFdZ6WtJF9f-PQOiH
675,Sheet,Rolling Stones All Come Rolling Home Again,Front Cover,Back Cover,10,2,Piano & Vocal,Edgar Leslie,Archie Gottler,"New York, New York",Kalmar Puck & Abrahams Co.,,1916,"A picture of ney york in the background, a woman standing in a doorway, and a crowd of people",NOT DOWNLOADED: 1K4b09K2yJwN64emty1c,1K4b09K2yJwN64emty1coE5KTY1mmbqsz
676,Sheet,Turn Back The Universe and Give Me Yesterday,Front Cover,Back Cover,10,5,Piano & Vocal,J. Keirn Brennan,Ernast R. Ball,"New York, Chicago, and London",M. Witmark & Sons,,1916,A picture of a woman looking off to the side with flowers around her.,NOT DOWNLOADED: 1XOm1trXjebk0HEESLXT,1XOm1trXjebk0HEESLXT0HpEnnF9PCjzP
677,Sheet,On the Mesa Grande,Front Cover,Back Cover,10,1,Piano,,L. Maurice,"27 Spruce Street, New York, NY",,Henry Ridder,1909,American Home Monthly in large font with drawing of a woman.,NOT DOWNLOADED: 1MwxgKbdzwk6F0pe4U2y,1MwxgKbdzwk6F0pe4U2y34_wVssmWoapI
678,Sheet,(The Song That I Heard in My Childhood) That’s the Song of Songs for Me,Front Cover,Back Cover,10,1,Piano/Vocal,Joe Goodwin,Nat. Osborne,"224 West 47th Street, New York, NY","Shapiro, Bernstein and Co.",,1915,Includes excerpts from other popular hits of the time.,NOT DOWNLOADED: 1V7ViOuQi5RsCyXANc-5,1V7ViOuQi5RsCyXANc-53O0fHEFa4Ckyx
679,Sheet,“Down Old New England Way” The Sunday World’s Album of Original Songs,Front Cover,Back Cover,10,1,Piano/Vocal,Harry S. Miller,Emily Smith,New York,E.T.Paull Music Co.,,1899,,NOT DOWNLOADED: 1Cteqw9j_5-O3sw6M5lO,1Cteqw9j_5-O3sw6M5lOJJv3xyjFF-G9Y
680,Sheet,Selected Compositions for the Piano by Modern Masters ''Queen of the Fairies'',Front Cover,Back Cover,10,1,Piano,,Sydney Smith,"1178 Broadway and 17 West 28th Street, New York",Century Music Publishing Company,,1905? (when exerpt of song on back was dated),"The top right corner is signed to ''Mrs. H. Parker from Blanche L. Droge""",NOT DOWNLOADED: 1bnMwpE-hhZN4jD31MbI,1bnMwpE-hhZN4jD31MbIrXOzISsgsI7YK
