,,,,,,,,,,,,,,,downloaded_filename,drive_file_id
52,Book,Break Forth Into Joy,Front Cover,Back Cover,1,13,Religious,E. T. Cook,E. T. Cook,"58 Berners St. London, UK",Stainer & Bell Ltd.,,1912,,NOT DOWNLOADED: 1W2cwKMDlYilpl3Wuo16,1W2cwKMDlYilpl3Wuo16Z6BqntZ-rFLpL
53,Book,The Aeroplane Waltz,Front Cover,Back Cover,1,1,Waltz,None,Chas. Konedski Davis,New York,Presto Pub. Co.,,1914,Front Cover: A man and a woman in dance attire posing.,NOT DOWNLOADED: 1qKcmKZ3Zk4w0uP9LtCv,1qKcmKZ3Zk4w0uP9LtCv00utZHt7zHiPB
54,Book,Good Bye Sweet Marie,Front Cover,Back Cover,1,14,Historical,Will D. Cobb,Kerry Mills,48 W 29th St. NY,F. A. Mills,,1905,Front Cover: Patriotic colors and woman waving a white cloth.,NOT DOWNLOADED: 1WtAAF2x3_1NSWyIhooS,1WtAAF2x3_1NSWyIhooSXy_TYgcAIs4bi
55,Book,I'm Looking For A Sweetheart and I Think You'll Do,Front Cover,Back Cover,1,1,Romance,R.H. Burnside,Manuel Klein,New York,M. Witmark & Sons,,1908,,NOT DOWNLOADED: 1QhibyM6MMQ-4uMwUlhX,1QhibyM6MMQ-4uMwUlhX3I680_uKZxY5h
56,Book,The Prettiest Girl In The World,Front Cover,Back Cover,1,2,Romance,Jas Fax,R. Gruenwald,"Boston, Mass.",C.W.Thompson & Co.,,1909,,NOT DOWNLOADED: 1T4z_vz8FUyeYbjPStgP,1T4z_vz8FUyeYbjPStgPT-1D_nfKSvBBd
57,Sheet,Prelide In B Flat,Front Cover,Back Cover,1,1,Piano/Dance/Waltz,None,Charles Valentin Alkan,,Oliver Ditson Company,,1910,,,
58,Sheet,The Etude Marche Militaire,Front Cover,Back Cover,1,1,Piano,None,P. Tschaikowsky,,Theo Presser Co.,,1911,,,
59,Book,There's A Big Cry-Baby In The Moon,Front Cover,Back Cover,1,1,Lullaby,James Burris,Chris Smith,Detroit and NY,Jerome H. Remick & Co.,,1910,Front Cover: A big moon with a baby crying in the moon.,NOT DOWNLOADED: 1n30ElDPrzNYDwfDhQHY,1n30ElDPrzNYDwfDhQHYLs5A92SQTJFc6
60,Book,That Baboon Baby Dance,Front Cover,Back Cover,1,1,Waltz,Dave Oppenheim,Joe Cooper,Broadway 39th St. NY,"Shapiro, Bernstein & Co. Inc.",,1911,Front Cover: A picture of some monkeys playing outside in some trees.,NOT DOWNLOADED: 1QzRXIYuWmv5yv1c_QVH,1QzRXIYuWmv5yv1c_QVHT1zLx_E5wdpJp
61,Book,When I Dream Of You,Front Cover,Back Cover,1,2,Popular Vocal (piano),Anita Owen,Anita Owen,Detroit and NY,Jerome H. Remick & Co.,,1910,Front Cover: A woman posing sated with purple flowers around.,NOT DOWNLOADED: 1rPHaJ1Gm7Z95vGJodr_,1rPHaJ1Gm7Z95vGJodr_uPrKp5wDdMFNo
62,Book,Lady Love,Front Cover,Back Cover,1,1,Popular Vocal (piano),Ribe Danmark,Ribe Danmark,Detroit and NY,Jerome H. Remick & Co.,,1909,,NOT DOWNLOADED: 1mCcRFwPnELKSAK9tNtj,1mCcRFwPnELKSAK9tNtjGeAMtjRCXDT1S
63,Book,I Love You You You You,Front Cover,Back Cover,1,1,Romance,Lester C. Riemer,Lester C. Riemer,"Asbury Park, NJ",The Riemer Music Pub. Co.,,1908,Front Cover: A man and a woman kissing.,NOT DOWNLOADED: 1u3ZzzJMXl3ru7xs2Skz,1u3ZzzJMXl3ru7xs2Skz7odtc15-XTMHC
64,Book,I Love My Wife But OH! Her Family,Front Cover,Back Cover,1,2,Comedy,Jeff T. Branen,Arthur W. Lange,"1431 B'way, NYC",Jeff T. Branen Music Pub. Co.,,1909,Front Cover: Blue colors details as a woman looks out the door in a dark night.,NOT DOWNLOADED: 10DQ1c_ZN-k2RONmp96w,10DQ1c_ZN-k2RONmp96wEWOMS7uWT4Dl3
